,Job_Title,Company,Location,Salary
197,Senior Software Developer,University of California Office of the President,"Oakland, CA 94607 (Acorn-Acorn Industrial area)",110000.0
199,Software Engineer - Network Modernization,American Express,"Palo Alto, CA 94306 (Barron Park area)",106500.0
200,Staff Software Engineer - Production Support,Visa,"Foster City, CA",119000.0
201,Software Test Engineer,Perspecta,"Campbell, CA 95011",79000.0
202,Sr. Software Engineers,Visa,"Foster City, CA",152000.0
203,Embedded Software Engineer,Motiv Power Systems,"Foster City, CA",115500.0
204,Software QA Engineer,Malwarebytes,"Santa Clara, CA 95054",102000.0
206,Software Development Engineer C++,Securly,"San Jose, CA 95113 (Downtown area)",129000.0
207,Java Backend Developer,"Sigmaways, Inc.","Santa Clara, CA",136500.0
208,Staff Software Engineer,General Electric,"San Ramon, CA 94583",131000.0
209,Software Developer - Java,Capgemini,"San Jose, CA",87500.0
210,Backend Engineer,Eaze,"San Francisco, CA",133000.0
211,Software Engineer,Palantir Technologies,"Palo Alto, CA",131000.0
212,Software Engineer,Whirlpool Corporation,"San Jose, CA 95124 (Cambrian Park area)",110500.0
213,Software Developer,V2Solutions,"Santa Clara, CA",108500.0
214,Software Developer,Hyadestechinc,"Santa Clara, CA",101000.0
215,Software Engineer - Networking,Qualcomm,"San Jose, CA 95110 (Downtown area)",134000.0
216,Staff Software Engineer - Full Stack,Intuit,"Mountain View, CA 94039",135000.0
217,Front End Software Engineer,Intelliga Solutions Inc,"Sunnyvale, CA",111000.0
218,Backend Software Engineer,Guidebook,"San Francisco, CA 94107 (South Of Market area)",128000.0
219,AI Software Engineer,"juji, inc.","San Jose, CA",129000.0
220,Software QA Engineer,Sun-Net Inc.,"San Jose, CA 95131 (North Valley area)",104000.0
221,Software Developer,1st Light Energy,"Manteca, CA",87500.0
222,FRONT END SOFTWARE ENGINEER,Schlumberger,"Menlo Park, CA",116000.0
223,Back-End Software Engineer | Search,Houzz,"Palo Alto, CA 94301 (Professorville area)",140500.0
224,Autonomous Driving Software Test Engineer,XMotors.ai,"Mountain View, CA",115500.0
226,Software Engineer,Slapdash,"San Francisco, CA",132000.0
227,Software Architect,"Magic Leap, Inc.","Sunnyvale, CA",137500.0
228,Senior Service Representative - Group Health,Professional Search,"San Jose, CA",80000.0
230,"2019 Intern, Software Engineering Firmware: Summer or Fall",Ampere Computing,"Santa Clara, CA",141500.0
232,Software Developer,77Sparx,"Sunnyvale, CA",112500.0
235,Software Engineer (Kubernetes),Aporeto,"San Jose, CA 95113 (Downtown area)",136000.0
236,System Software Engineer,Samsung Research America,"Mountain View, CA",120000.0
240,Software Engineer- Customer Experience,Twilio,"San Francisco, CA 94105 (Financial District area)",67500.0
242,"Software Engineer, Full Stack",Netflix,"Los Gatos, CA 95032",138500.0
244,Junior Assistant Associate Engineer,City of Mountain View,"Mountain View, CA 94041",109345.5
246,Community Library Manager,"County of Contra Costa, California","Contra Costa County, CA",83553.5
251,Technical Quality Specialist,"Anatomage, Inc.","San Jose, CA 95110 (Downtown area)",70000.0
252,Robotics Software Engineer - Controls & Pathplanning,ViaBot Inc.,"Palo Alto, CA",60000.0
